Streaming output truncated to the last 5000 lines.
>50149, d1[0.378] d2[0.356] g[1.332]
>50150, d1[0.313] d2[0.391] g[5.673]
>50151, d1[0.242] d2[0.332] g[4.862]
>50152, d1[0.410] d2[0.592] g[3.329]
>50153, d1[0.320] d2[0.379] g[4.830]
>50154, d1[0.337] d2[0.306] g[5.278]
>50155, d1[0.437] d2[0.302] g[4.821]
>50156, d1[0.496] d2[0.257] g[3.186]
>50157, d1[0.288] d2[0.280] g[5.233]
>50158, d1[0.219] d2[0.256] g[4.279]
>50159, d1[0.349] d2[0.338] g[3.349]
>50160, d1[0.281] d2[0.527] g[2.992]
>50161, d1[0.285] d2[0.332] g[4.987]
>50162, d1[0.252] d2[0.518] g[4.396]
>50163, d1[0.415] d2[0.289] g[5.884]
>50164, d1[0.533] d2[0.229] g[3.103]
>50165, d1[0.376] d2[0.301] g[4.332]
>50166, d1[0.150] d2[0.263] g[5.410]
>50167, d1[0.332] d2[0.260] g[6.235]
>50168, d1[0.170] d2[0.337] g[4.780]
>50169, d1[0.133] d2[0.248] g[5.312]
>50170, d1[0.284] d2[0.392] g[8.720]
>50171, d1[0.362] d2[0.440] g[4.440]
>50172, d1[0.387] d2[0.340] g[1.298]
>50173, d1[0.484] d2[0.289] g[4.054]
>50174, d1[0.219] d2[0.297] g[5.800]
>50175, d1[0.500] d2[0.239] g[4.149]
>50176, d1[0.284] d2[0.434] g[4.457]
>50177, d1[0.312] d2[0.343] g[5.138]
>50178, d1[0.376] d2[0.353] g[2.460]
>50179, d1[0.336] d2[0.259] g[6.208]
>50180, d1[0.369] d2[0.386] g[4.207]
>50181, d1[0.268] d2[0.306] g[4.195]
>50182, d1[0.261] d2[0.496] g[3.798]
>50183, d1[0.296] d2[0.321] g[4.025]
>50184, d1[0.386] d2[0.302] g[3.715]
>50185, d1[0.318] d2[0.448] g[4.070]
>50186, d1[0.454] d2[0.284] g[3.093]
>50187, d1[0.371] d2[0.348] g[3.853]
>50188, d1[0.211] d2[0.338] g[4.713]
>50189, d1[0.342] d2[0.313] g[4.140]
>50190, d1[0.324] d2[0.444] g[4.063]
>50191, d1[0.395] d2[0.356] g[1.597]
>50192, d1[0.223] d2[0.267] g[5.556]
>50193, d1[0.196] d2[0.312] g[5.711]
>50194, d1[0.426] d2[0.368] g[4.521]
>50195, d1[0.281] d2[0.426] g[7.445]
>50196, d1[0.481] d2[0.274] g[2.639]
>50197, d1[0.404] d2[0.342] g[1.923]
>50198, d1[0.364] d2[0.295] g[5.155]
>50199, d1[0.272] d2[0.399] g[4.742]
>50200, d1[0.381] d2[0.350] g[3.900]
>50201, d1[0.397] d2[0.307] g[5.058]
>50202, d1[0.358] d2[0.320] g[4.887]
>50203, d1[0.382] d2[0.355] g[2.929]
>50204, d1[0.478] d2[0.294] g[2.876]
>50205, d1[0.314] d2[0.428] g[4.856]
>50206, d1[0.423] d2[0.316] g[5.353]
>50207, d1[0.345] d2[0.332] g[4.718]
>50208, d1[0.329] d2[0.334] g[3.986]
>50209, d1[0.301] d2[0.432] g[4.140]
>50210, d1[0.342] d2[0.335] g[4.158]
>50211, d1[0.498] d2[0.253] g[2.916]
>50212, d1[0.453] d2[0.268] g[3.412]
>50213, d1[0.214] d2[0.326] g[5.393]
>50214, d1[0.240] d2[0.398] g[4.862]
>50215, d1[0.171] d2[0.260] g[5.367]
>50216, d1[0.308] d2[0.360] g[4.586]
>50217, d1[0.324] d2[0.436] g[3.926]
>50218, d1[0.246] d2[0.354] g[5.076]
>50219, d1[0.475] d2[0.333] g[4.084]
>50220, d1[0.404] d2[0.252] g[4.849]
>50221, d1[0.307] d2[0.413] g[7.374]
>50222, d1[0.332] d2[0.320] g[4.217]
>50223, d1[0.308] d2[0.426] g[4.255]
>50224, d1[0.264] d2[0.294] g[4.252]
>50225, d1[0.290] d2[0.448] g[4.654]
>50226, d1[0.211] d2[0.324] g[5.206]
>50227, d1[0.369] d2[0.265] g[5.044]
>50228, d1[0.184] d2[0.296] g[5.058]
>50229, d1[0.390] d2[0.343] g[4.574]
>50230, d1[0.164] d2[0.265] g[5.717]
>50231, d1[0.290] d2[0.306] g[5.101]
>50232, d1[0.207] d2[0.233] g[5.131]
>50233, d1[0.193] d2[0.478] g[4.925]
>50234, d1[0.418] d2[0.313] g[3.458]
>50235, d1[0.372] d2[0.306] g[4.550]
>50236, d1[0.348] d2[0.436] g[1.670]
>50237, d1[0.394] d2[0.337] g[3.679]
>50238, d1[0.389] d2[0.307] g[4.272]
>50239, d1[0.342] d2[0.324] g[3.694]
>50240, d1[0.387] d2[0.345] g[3.386]
>50241, d1[0.138] d2[0.247] g[5.054]
>50242, d1[0.178] d2[0.377] g[5.076]
>50243, d1[0.327] d2[0.282] g[4.810]
>50244, d1[0.148] d2[0.258] g[5.543]
>50245, d1[0.372] d2[0.295] g[4.415]
>50246, d1[0.403] d2[0.540] g[4.706]
>50247, d1[0.198] d2[0.403] g[4.995]
>50248, d1[0.468] d2[0.278] g[3.589]
>50249, d1[0.403] d2[0.307] g[4.956]
>50250, d1[0.446] d2[0.281] g[4.359]
>50251, d1[0.425] d2[0.313] g[5.191]
>50252, d1[0.334] d2[0.347] g[4.407]
>50253, d1[0.368] d2[0.337] g[4.352]
>50254, d1[0.289] d2[0.283] g[5.027]
>50255, d1[0.323] d2[0.362] g[3.651]
>50256, d1[0.192] d2[0.544] g[3.776]
>50257, d1[0.282] d2[0.338] g[4.398]
>50258, d1[0.531] d2[0.225] g[2.871]
>50259, d1[0.189] d2[0.400] g[4.615]
>50260, d1[0.266] d2[0.337] g[4.869]
>50261, d1[0.349] d2[0.306] g[4.243]
>50262, d1[0.298] d2[0.346] g[5.197]
>50263, d1[0.133] d2[0.288] g[5.396]
>50264, d1[0.456] d2[0.260] g[4.684]
>50265, d1[0.296] d2[0.345] g[4.973]
>50266, d1[0.255] d2[0.289] g[5.035]
>50267, d1[0.420] d2[0.346] g[4.232]
>50268, d1[0.359] d2[0.369] g[1.407]
>50269, d1[0.460] d2[0.328] g[3.196]
>50270, d1[0.395] d2[0.298] g[4.145]
>50271, d1[0.233] d2[0.507] g[4.779]
>50272, d1[0.383] d2[0.265] g[4.505]
>50273, d1[0.192] d2[0.290] g[5.246]
>50274, d1[0.367] d2[0.375] g[2.557]
>50275, d1[0.361] d2[0.366] g[1.228]
>50276, d1[0.329] d2[0.383] g[4.544]
>50277, d1[0.361] d2[0.395] g[1.842]
>50278, d1[0.174] d2[0.279] g[5.665]
>50279, d1[0.288] d2[0.343] g[5.081]
>50280, d1[0.348] d2[0.349] g[4.481]
>50281, d1[0.460] d2[0.226] g[5.312]
>50282, d1[0.362] d2[0.435] g[4.318]
>50283, d1[0.260] d2[0.474] g[3.142]
>50284, d1[0.365] d2[0.363] g[1.383]
>50285, d1[0.391] d2[0.377] g[5.247]
>50286, d1[0.407] d2[0.300] g[4.745]
>50287, d1[0.417] d2[0.288] g[2.979]
>50288, d1[0.327] d2[0.461] g[4.422]
>50289, d1[0.345] d2[0.297] g[4.419]
>50290, d1[0.362] d2[0.345] g[1.378]
>50291, d1[0.336] d2[0.369] g[3.181]
>50292, d1[0.319] d2[0.336] g[4.305]
>50293, d1[0.262] d2[0.346] g[4.070]
>50294, d1[0.256] d2[0.311] g[4.611]
>50295, d1[0.194] d2[0.459] g[5.755]
>50296, d1[0.275] d2[0.323] g[4.759]
>50297, d1[0.397] d2[0.291] g[3.675]
>50298, d1[0.541] d2[0.263] g[2.661]
>50299, d1[0.354] d2[0.308] g[5.062]
>50300, d1[0.274] d2[0.459] g[3.466]
>50301, d1[0.534] d2[0.226] g[4.206]
>50302, d1[0.266] d2[0.378] g[4.637]
>50303, d1[0.374] d2[0.371] g[3.913]
>50304, d1[0.403] d2[0.301] g[4.204]
>50305, d1[0.345] d2[0.341] g[4.004]
>50306, d1[0.257] d2[0.306] g[5.018]
>50307, d1[0.261] d2[0.496] g[5.253]
>50308, d1[0.400] d2[0.392] g[2.098]
>50309, d1[0.279] d2[0.362] g[5.350]
>50310, d1[0.361] d2[0.344] g[3.429]
>50311, d1[0.278] d2[0.448] g[2.395]
>50312, d1[0.522] d2[0.240] g[3.938]
>50313, d1[0.350] d2[0.323] g[4.750]
>50314, d1[0.370] d2[0.333] g[4.390]
>50315, d1[0.223] d2[0.375] g[5.253]
>50316, d1[0.333] d2[0.378] g[4.963]
>50317, d1[0.323] d2[0.361] g[5.494]
>50318, d1[0.470] d2[0.249] g[3.131]
>50319, d1[0.259] d2[0.278] g[4.784]
>50320, d1[0.341] d2[0.359] g[3.324]
>50321, d1[0.177] d2[0.379] g[4.580]
>50322, d1[0.383] d2[0.339] g[1.383]
>50323, d1[0.541] d2[0.220] g[2.902]
>50324, d1[0.423] d2[0.272] g[4.913]
>50325, d1[0.343] d2[0.313] g[3.683]
>50326, d1[0.325] d2[0.314] g[6.159]
>50327, d1[0.313] d2[0.446] g[1.657]
>50328, d1[0.249] d2[0.335] g[4.867]
>50329, d1[0.233] d2[0.339] g[5.144]
>50330, d1[0.251] d2[0.400] g[4.856]
>50331, d1[0.373] d2[0.344] g[4.279]
>50332, d1[0.522] d2[0.248] g[4.099]
>50333, d1[0.248] d2[0.250] g[5.207]
>50334, d1[0.182] d2[0.516] g[5.553]
>50335, d1[0.343] d2[0.270] g[5.047]
>50336, d1[0.339] d2[0.375] g[4.606]
>50337, d1[0.283] d2[0.457] g[5.109]
>50338, d1[0.435] d2[0.269] g[4.158]
>50339, d1[0.421] d2[0.284] g[4.442]
>50340, d1[0.332] d2[0.403] g[2.866]
>50341, d1[0.252] d2[0.276] g[3.800]
>50342, d1[0.246] d2[0.385] g[4.519]
>50343, d1[0.275] d2[0.291] g[6.012]
>50344, d1[0.334] d2[0.384] g[2.703]
>50345, d1[0.350] d2[0.381] g[4.191]
>50346, d1[0.170] d2[0.303] g[5.168]
>50347, d1[0.417] d2[0.268] g[5.274]
>50348, d1[0.186] d2[0.275] g[5.527]
>50349, d1[0.427] d2[0.365] g[4.489]
>50350, d1[0.426] d2[0.331] g[2.333]
>50351, d1[0.398] d2[0.351] g[1.848]
>50352, d1[0.409] d2[0.328] g[3.602]
>50353, d1[0.480] d2[0.302] g[3.780]
>50354, d1[0.284] d2[0.306] g[5.033]
>50355, d1[0.261] d2[0.418] g[4.286]
>50356, d1[0.253] d2[0.375] g[4.398]
>50357, d1[0.217] d2[0.321] g[5.300]
>50358, d1[0.158] d2[0.278] g[5.776]
